Year,Topics,Topic Name,Paper,Question No.,GHS % score,1A Answer
2025,6,Microscopic World II,1B,2(b),55%,3
2025,12,Patterns in the Chemical World,1B,2(c),45%,3
2025,2,Microscopic World I,1B,3(a)(i),78%,4
2025,2,Microscopic World I,1B,3(a)(ii),88%,4
2025,2,Microscopic World I,1B,3(b),85%,4
2025,3,Metals,1B,3(c),87%,4
2025,3,Metals,1B,4(a),74%,5
2025,3,Metals,1B,4(b)(i),76%,5
2025,3,Metals,1B,4(b)(ii),88%,5
2025,3,Metals,1B,4(c)(i),63%,5
2025,3,Metals,1B,4(c)(ii),89%,5
2025,4,Acids and Bases,1B,5(a),83%,6
2025,4,Acids and Bases,1B,5(b),82%,6
2025,4,Acids and Bases,1B,5(c),79%,6
2025,4,Acids and Bases,1B,5(d),80%,6
2025,4,Acids and Bases,1B,5(e),41%,6
2025,7,"Redox Reactions, Chemical Cells and Electrolysis",1B,6(a),99%,7
2025,7,"Redox Reactions, Chemical Cells and Electrolysis",1B,6(b)(i),78%,7
2025,7,"Redox Reactions, Chemical Cells and Electrolysis",1B,6(b)(ii),61%,7
2025,7,"Redox Reactions, Chemical Cells and Electrolysis",1B,6(c),41%,7
2025,7,"Redox Reactions, Chemical Cells and Electrolysis",1B,6(d),90%,7
2025,11,Chemistry of Carbon Compounds,1B,7(a),24%,8
2025,11,Chemistry of Carbon Compounds,1B,7(b)(i),29%,8
2025,11,Chemistry of Carbon Compounds,1B,7(b)(ii),59%,8
2025,11,Chemistry of Carbon Compounds,1B,7(c),86%,8
2025,7,"Redox Reactions, Chemical Cells and Electrolysis",1B,8,76%,9
2025,9,Rate of Reaction,1B,9,40%,9
2025,7,"Redox Reactions, Chemical Cells and Electrolysis",1B,10,66%,10
2025,4,Acids and Bases,1B,11,69%,10
2025,10,Chemical Equilibrium,1B,12(a),70%,11
2025,10,Chemical Equilibrium,1B,12(b)(i),70%,11
2025,10,Chemical Equilibrium,1B,12(b)(ii),87%,11
2025,10,Chemical Equilibrium,1B,12(c),73%,11
2025,8,Chemical Reactions and Energy,1B,13(a),80%,12
2025,8,Chemical Reactions and Energy,1B,13(b)(i),52%,12
2025,8,Chemical Reactions and Energy,1B,13(b)(ii),71%,13
2025,8,Chemical Reactions and Energy,1B,13(c),49%,13
2025,11,Chemistry of Carbon Compounds,1B,14(a),76%,14
2025,11,Chemistry of Carbon Compounds,1B,14(b),55%,14
2025,11,Chemistry of Carbon Compounds,1B,14(c),79%,14
2025,11,Chemistry of Carbon Compounds,1B,14(d)(i),39%,15
2025,11,Chemistry of Carbon Compounds,1B,14(d)(ii),74%,15
2025,11,Chemistry of Carbon Compounds,1B,14(d)(iii),79%,15
2025,11,Chemistry of Carbon Compounds,1B,14(e)(i),94%,15
2025,11,Chemistry of Carbon Compounds,1B,14(e)(ii),28%,15
2025,13,Industrial Chemistry,2,1(a)(i),39%,2
2025,13,Industrial Chemistry,2,1(a)(ii),83%,2
2025,13,Industrial Chemistry,2,1(a)(iii),28%,2
2025,13,Industrial Chemistry,2,1(a)(iv)(1),82%,2
2025,13,Industrial Chemistry,2,1(a)(iv)(2),33%,2
2025,13,Industrial Chemistry,2,1(a)(iv)(3),61%,2
2025,13,Industrial Chemistry,2,1(a)(v)(1),47%,3
2025,13,Industrial Chemistry,2,1(a)(v)(2),82%,3
2025,13,Industrial Chemistry,2,1(b)(i),63%,3
2025,13,Industrial Chemistry,2,1(b)(ii)(1),61%,4
2025,13,Industrial Chemistry,2,1(b)(ii)(2),71%,4
2025,13,Industrial Chemistry,2,1(b)(ii)(3),49%,4
2025,13,Industrial Chemistry,2,1(b)(ii)(4),60%,4
2025,13,Industrial Chemistry,2,1(c)(i),85%,5
2025,13,Industrial Chemistry,2,1(c)(ii),55%,5
2025,13,Industrial Chemistry,2,1(c)(iii),66%,5
2025,15,Analytical Chemistry,2,2(a)(i),39%,6
2025,15,Analytical Chemistry,2,2(a)(ii)(1),83%,6
2025,15,Analytical Chemistry,2,2(a)(ii)(2),63%,6
2025,15,Analytical Chemistry,2,2(b)(i),20%,7
2025,15,Analytical Chemistry,2,2(b)(ii),63%,7
2025,15,Analytical Chemistry,2,2(b)(iii),66%,7
2025,15,Analytical Chemistry,2,2(b)(iv),27%,7
2025,15,Analytical Chemistry,2,2(c),68%,8
2025,15,Analytical Chemistry,2,2(d)(i),82%,8
2025,15,Analytical Chemistry,2,2(d)(ii),79%,9
2025,15,Analytical Chemistry,2,2(d)(iii),77%,9
2025,15,Analytical Chemistry,2,2(d)(iv),54%,9
2022,13,Industrial Chemistry,2,1(a)(i),80%,1
2022,13,Industrial Chemistry,2,1(a)(ii),50%,1
2022,13,Industrial Chemistry,2,1(a)(iii),63%,1
2022,13,Industrial Chemistry,2,1(b)(i),80%,2
2022,13,Industrial Chemistry,2,1(b)(ii)(1),64%,2
2022,13,Industrial Chemistry,2,1(b)(ii)(2),64%,2
2022,13,Industrial Chemistry,2,1(c)(i),60%,2
2022,13,Industrial Chemistry,2,1(c)(ii)(1),80%,2
2022,13,Industrial Chemistry,2,1(c)(ii)(2),56%,2
2022,13,Industrial Chemistry,2,1(c)(iii)(1),60%,3
2022,13,Industrial Chemistry,2,1(c)(iii)(2),12%,3
2022,13,Industrial Chemistry,2,1(c)(iii)(3),44%,3
2022,15,Analytical Chemistry,2,2(a)(i),40%,4
2022,15,Analytical Chemistry,2,2(a)(ii),48%,4
2022,15,Analytical Chemistry,2,2(a)(iii),32%,4
2022,15,Analytical Chemistry,2,2(b)(i),24%,4
2022,15,Analytical Chemistry,2,2(b)(ii),72%,4
2022,15,Analytical Chemistry,2,2(c)(i),69%,4
2022,15,Analytical Chemistry,2,2(c)(ii),32%,5
2022,15,Analytical Chemistry,2,2(c)(iii),72%,5
2022,15,Analytical Chemistry,2,2(d)(i)(1),28%,5
2022,15,Analytical Chemistry,2,2(d)(i)(2),36%,5
2022,15,Analytical Chemistry,2,2(d)(iii),48%,5
